age_group,gender_id,income_bracket,household_size,commute_minutes,orders_per_week,order_windows,avg_spend_aed,tip_pct,fav_cuisines,spice_level,max_radius_km,diet_style,allergens,pack_sustain_score,traceability_interest,pay_premium_cn,liked_features,sub_bundle_yesno,jar_return_likely,mood_menu_value,chef_live_interest,group_cart_value,reorder_nudge_optin,nps,adoption_timing,max_wait_min,fav_discount,primary_concern,badge_influence
25-34,Man,<5k,1,44,4-5,Lunch 11-14;Dinner 18-22;Late night 22-02,65.51,2.7,Indian;Healthy bowls;Desserts / Bakery,2,3.1,Omnivore,None;Nuts,2,3,Yes,AI meal-builder;Group cart & split pay,Yes,5,3,3,2,Yes,10,Not interested,55,Free delivery,Quality trust,2
45-54,Man,5-10k,2,21,2-3,Lunch 11-14;Late night 22-02,61.87,2.5,Arab,2,7.8,Omnivore,Seafood;None,2,4,No,Freshness alerts;Community impact badges,Yes,2,5,3,4,No,4,Immediately,42,Off-peak % discount,Delivery speed,3
35-44,Woman,20-35k,4,28,2-3,Dinner 18-22;Lunch 11-14,50.53,11.8,Asian-street;Healthy bowls,4,12.5,Omnivore,Nuts,4,4,Yes,Freshness alerts;Mood-weather menu;Dynamic off-peak pricing;Chef livestreams & AR plating guides;Group cart & split pay,No,4,3,4,3,Yes,6,Within 1 month,47,Free delivery,Other,3
25-34,Woman,5-10k,3,14,0-1,Lunch 11-14,47.62,8.6,Healthy bowls;Asian-street,5,3.6,Low-carb,Nuts;Soy,4,5,Yes,Mood-weather menu;Group cart & split pay;Community impact badges;AI meal-builder;Freshness alerts,Yes,4,5,3,3,Yes,10,1-3 months,22,Free delivery,Quality trust,3
25-34,Woman,5-10k,4,62,2-3,Dinner 18-22;Late night 22-02,46.34,4.9,Asian-street;Indian;Western-comfort,4,13.6,Vegan,Nuts;None,3,4,Yes,Community impact badges;Mood-weather menu;AI meal-builder;Group cart & split pay,Yes,3,3,3,3,No,10,After friends’ reviews,59,Loyalty points,Delivery speed,3
25-34,Man,<5k,6,26,2-3,Lunch 11-14,59.15,6.0,Asian-street,2,10.9,High-protein,None,4,5,Maybe,Mood-weather menu;AI meal-builder;Community impact badges,No,5,3,2,5,No,4,Not interested,36,Free delivery,Quality trust,4
25-34,Man,10-20k,3,42,0-1,Lunch 11-14;Dinner 18-22;Breakfast 6-10,53.42,3.2,Asian-street;Desserts / Bakery,2,10.9,Omnivore,Gluten;None,3,5,Maybe,Dynamic off-peak pricing;Freshness alerts;Mood-weather menu;Community impact badges;Chef livestreams & AR plating guides,Yes,5,4,3,4,No,10,Immediately,40,Free delivery,Price,5
25-34,Woman,10-20k,2,71,0-1,Late night 22-02,92.22,16.4,Indian,1,8.8,Vegan,None,4,3,Yes,AI meal-builder;Community impact badges;Freshness alerts;Dynamic off-peak pricing;Chef livestreams & AR plating guides,No,4,4,4,4,Yes,2,After friends’ reviews,51,Loyalty points,App ease,3
25-34,Woman,10-20k,2,59,4-5,Late night 22-02,55.23,12.5,Western-comfort;Arab;Asian-street,3,5.2,Pescatarian,Dairy,2,2,No,Dynamic off-peak pricing;Freshness alerts;AI meal-builder;Mood-weather menu,No,3,2,4,4,No,6,Immediately,51,Free delivery,App ease,3
25-34,Man,5-10k,4,25,4-5,Dinner 18-22;Snack 14-17,75.33,7.9,Healthy bowls,3,4.6,Omnivore,Dairy;Eggs,3,4,Yes,Community impact badges;Reusable-pack rewards,Yes,4,4,3,3,Yes,4,After friends’ reviews,56,Off-peak % discount,Delivery speed,5
35-44,Woman,20-35k,2,44,6+,Late night 22-02;Lunch 11-14,55.74,6.2,Asian-street;Indian,3,8.1,Omnivore,Nuts;None,4,3,No,Freshness alerts;Group cart & split pay;Mood-weather menu;Community impact badges,Yes,3,4,2,4,Yes,8,Within 1 month,37,Free delivery,Quality trust,3
25-34,Man,10-20k,4,16,2-3,Lunch 11-14;Dinner 18-22,31.33,5.7,Arab;Indian;Desserts / Bakery,3,7.8,Omnivore,Gluten;None,3,5,Yes,Chef livestreams & AR plating guides;Group cart & split pay;Community impact badges;Dynamic off-peak pricing,No,3,2,3,4,Yes,10,1-3 months,46,Free dessert add-on,Packaging waste,3
25-34,Woman,20-35k,5,31,2-3,Lunch 11-14;Dinner 18-22,75.1,0.0,Indian,2,5.2,Vegetarian,Gluten;Soy,3,4,Yes,Community impact badges;Chef livestreams & AR plating guides;Group cart & split pay,No,4,4,2,2,Yes,1,Immediately,34,Free dessert add-on,Price,3
25-34,Man,10-20k,2,61,2-3,Lunch 11-14;Dinner 18-22;Late night 22-02,49.0,3.0,Arab;Healthy bowls,2,6.0,High-protein,None;Nuts,4,4,Yes,AI meal-builder;Reusable-pack rewards;Dynamic off-peak pricing;Group cart & split pay;Mood-weather menu,Yes,4,5,2,2,Yes,8,Immediately,45,Free dessert add-on,Delivery speed,2
35-44,Woman,5-10k,5,48,0-1,Late night 22-02;Snack 14-17;Lunch 11-14,68.1,0.0,Indian;Asian-street,4,14.5,Vegetarian,None,3,4,No,AI meal-builder;Freshness alerts;Chef livestreams & AR plating guides;Dynamic off-peak pricing,No,3,3,2,3,No,10,1-3 months,29,Loyalty points,Price,3
45-54,Woman,5-10k,2,37,2-3,Late night 22-02,43.19,14.6,Asian-street;Desserts / Bakery,3,9.3,Omnivore,None;Dairy,3,4,Maybe,Mood-weather menu;Freshness alerts;Group cart & split pay;Reusable-pack rewards,No,3,2,3,3,Yes,7,Not interested,29,Off-peak % discount,Price,4
25-34,Woman,20-35k,5,12,2-3,Snack 14-17;Dinner 18-22;Lunch 11-14,38.99,6.2,Desserts / Bakery;Arab;Western-comfort,2,7.6,Omnivore,Dairy;Seafood,3,3,No,Freshness alerts;AI meal-builder;Community impact badges;Dynamic off-peak pricing;Reusable-pack rewards,Yes,4,3,3,4,Yes,10,After friends’ reviews,47,Loyalty points,Price,4
18-24,Man,20-35k,2,29,2-3,Dinner 18-22;Snack 14-17;Lunch 11-14,48.25,7.1,Indian,2,11.8,Omnivore,Dairy,5,3,Yes,Group cart & split pay;Chef livestreams & AR plating guides;Community impact badges,No,3,5,3,2,Yes,8,1-3 months,48,Off-peak % discount,Delivery speed,4
45-54,Woman,5-10k,2,14,2-3,Snack 14-17;Dinner 18-22;Lunch 11-14,61.09,5.9,Desserts / Bakery,1,4.6,Omnivore,None,2,5,Yes,Reusable-pack rewards;AI meal-builder;Group cart & split pay;Chef livestreams & AR plating guides,Yes,3,4,2,2,No,8,Immediately,32,Loyalty points,Price,5
25-34,Woman,20-35k,6,41,0-1,Lunch 11-14,63.38,8.2,Western-comfort;Desserts / Bakery;Healthy bowls,4,2.6,Omnivore,None;Seafood,5,4,Maybe,AI meal-builder;Reusable-pack rewards;Community impact badges;Dynamic off-peak pricing,Yes,5,4,3,4,Yes,5,Immediately,55,Off-peak % discount,Packaging waste,4
18-24,Man,10-20k,5,46,4-5,Dinner 18-22;Lunch 11-14;Snack 14-17,143.82,0.0,Healthy bowls,2,14.3,Omnivore,Soy;None,2,3,Maybe,Mood-weather menu;Community impact badges;AI meal-builder;Freshness alerts,Yes,4,2,4,4,No,9,1-3 months,35,Off-peak % discount,Quality trust,2
35-44,Man,<5k,6,5,2-3,Snack 14-17,58.68,2.6,Asian-street;Western-comfort,3,9.1,Omnivore,None;Soy,4,3,No,Freshness alerts;Group cart & split pay;Chef livestreams & AR plating guides;Reusable-pack rewards,Yes,3,3,3,4,Yes,6,Not interested,31,Free delivery,App ease,2
25-34,Man,<5k,5,18,4-5,Dinner 18-22;Lunch 11-14,39.56,6.0,Desserts / Bakery,2,9.9,Omnivore,Dairy,5,4,Yes,Group cart & split pay;Reusable-pack rewards;Chef livestreams & AR plating guides,No,1,2,3,4,Yes,7,Within 1 month,35,Off-peak % discount,Price,3
35-44,Man,10-20k,1,29,0-1,Late night 22-02;Dinner 18-22;Snack 14-17,39.79,8.5,Arab;Desserts / Bakery,4,6.4,Omnivore,None,3,2,Maybe,Community impact badges;Dynamic off-peak pricing,Yes,4,3,3,4,No,8,Within 1 month,38,Free delivery,Delivery speed,5
55+,Man,5-10k,3,29,2-3,Breakfast 6-10,68.05,2.3,Desserts / Bakery,1,13.9,Omnivore,None;Gluten,4,3,Maybe,Dynamic off-peak pricing;Group cart & split pay;Freshness alerts;Chef livestreams & AR plating guides;AI meal-builder,Yes,3,4,3,4,Yes,4,After friends’ reviews,49,Free delivery,Price,2
55+,Woman,20-35k,4,5,4-5,Dinner 18-22;Late night 22-02;Snack 14-17,68.28,14.4,Indian,1,5.7,Vegetarian,Nuts;None,4,2,Yes,Freshness alerts;Community impact badges;AI meal-builder;Reusable-pack rewards;Mood-weather menu,Yes,2,5,2,4,Yes,7,After friends’ reviews,33,Loyalty points,Price,2
25-34,Man,10-20k,3,27,0-1,Breakfast 6-10;Lunch 11-14,43.29,5.5,Western-comfort,3,3.6,Pescatarian,None,4,3,Maybe,Reusable-pack rewards;AI meal-builder,Yes,5,4,3,4,Yes,10,1-3 months,43,Free delivery,Quality trust,1
35-44,Non-binary,10-20k,4,23,2-3,Dinner 18-22;Snack 14-17,38.95,8.4,Indian;Asian-street;Arab,1,3.4,Omnivore,None,3,3,Maybe,Group cart & split pay;Freshness alerts;Dynamic off-peak pricing;AI meal-builder;Community impact badges,Yes,3,4,2,5,Yes,5,Within 1 month,51,Off-peak % discount,Price,2
25-34,Man,10-20k,1,24,2-3,Lunch 11-14;Dinner 18-22;Snack 14-17,42.47,7.9,Healthy bowls,1,9.9,Omnivore,Eggs,4,4,Yes,Chef livestreams & AR plating guides;Dynamic off-peak pricing;AI meal-builder,No,3,3,3,3,Yes,5,Immediately,43,Off-peak % discount,Quality trust,3
25-34,Man,20-35k,13,114,4-5,Snack 14-17;Lunch 11-14,376.2092,28.500319,Indian,2,7.8,Omnivore,Eggs;None,3,2,Yes,Community impact badges;Freshness alerts;Dynamic off-peak pricing,No,2,4,4,2,Yes,6,1-3 months,31,Free delivery,App ease,3
35-44,Woman,10-20k,1,18,4-5,Dinner 18-22;Snack 14-17;Late night 22-02,28.67,2.4,Indian,2,9.4,Omnivore,None,3,2,No,Mood-weather menu;Group cart & split pay,No,4,3,2,5,Yes,4,1-3 months,40,Loyalty points,Price,4
35-44,Man,10-20k,1,79,2-3,Dinner 18-22;Breakfast 6-10;Snack 14-17,85.97,11.3,Healthy bowls;Asian-street,3,7.3,High-protein,Dairy,3,4,Maybe,Dynamic off-peak pricing;Group cart & split pay;Freshness alerts;AI meal-builder;Community impact badges,Yes,2,4,4,5,No,10,Immediately,45,Off-peak % discount,Price,3
25-34,Woman,35k+,7,49,2-3,Dinner 18-22,34.18,5.5,Asian-street;Indian;Western-comfort,2,14.5,Omnivore,None;Nuts,5,4,No,Chef livestreams & AR plating guides;Community impact badges;Mood-weather menu;AI meal-builder;Freshness alerts,Yes,3,2,4,2,Yes,4,Within 1 month,55,Free delivery,Price,4
25-34,Man,<5k,1,10,4-5,Lunch 11-14;Dinner 18-22,68.84,9.2,Healthy bowls;Western-comfort,2,9.7,Omnivore,Gluten,2,4,No,AI meal-builder;Chef livestreams & AR plating guides;Dynamic off-peak pricing;Group cart & split pay;Freshness alerts,No,4,4,3,4,No,7,Immediately,29,Loyalty points,App ease,3
35-44,Man,10-20k,1,21,2-3,Snack 14-17,65.32,2.5,Desserts / Bakery;Indian,3,8.8,Pescatarian,Eggs;Soy,4,4,No,Community impact badges;Freshness alerts;Mood-weather menu,Yes,2,4,3,4,Yes,1,Within 1 month,26,Off-peak % discount,Price,4
35-44,Woman,5-10k,1,30,4-5,Dinner 18-22;Lunch 11-14,65.17,14.9,Arab;Healthy bowls,2,4.0,High-protein,Gluten;Nuts,2,3,Yes,Reusable-pack rewards;Chef livestreams & AR plating guides,No,2,3,4,4,No,7,1-3 months,32,Free delivery,Price,5
25-34,Man,<5k,2,44,0-1,Snack 14-17;Lunch 11-14,76.88,5.4,Indian,4,6.9,Omnivore,None,4,4,Yes,Community impact badges;Mood-weather menu;AI meal-builder;Reusable-pack rewards;Chef livestreams & AR plating guides,No,4,2,3,3,Yes,7,After friends’ reviews,39,Free delivery,Price,5
45-54,Man,20-35k,5,27,2-3,Lunch 11-14,28.58,6.3,Indian;Asian-street,4,12.3,Omnivore,Gluten,5,5,Yes,AI meal-builder;Community impact badges;Reusable-pack rewards,Yes,2,5,1,2,Yes,8,Immediately,40,Free delivery,Delivery speed,3
18-24,Man,<5k,11,62,2-3,Snack 14-17;Dinner 18-22;Breakfast 6-10,53.63,2.9,Arab;Indian;Asian-street,4,5.3,Omnivore,None;Soy,3,5,Maybe,Freshness alerts;AI meal-builder,Yes,4,2,4,2,No,6,After friends’ reviews,35,Free delivery,Delivery speed,4
18-24,Man,<5k,1,26,0-1,Lunch 11-14;Late night 22-02,37.07,10.0,Asian-street,2,12.9,Omnivore,Gluten;Dairy,5,4,No,Freshness alerts;Chef livestreams & AR plating guides;AI meal-builder;Mood-weather menu;Dynamic off-peak pricing,Yes,2,4,3,4,No,6,Immediately,27,Free dessert add-on,Delivery speed,3
45-54,Woman,20-35k,2,60,4-5,Lunch 11-14,42.56,0.0,Healthy bowls;Asian-street;Indian,2,6.0,Omnivore,None;Nuts,4,3,Maybe,Dynamic off-peak pricing;Group cart & split pay,No,5,4,4,3,No,7,Within 1 month,19,Free delivery,Price,3
18-24,Woman,5-10k,4,16,2-3,Dinner 18-22,51.66,4.2,Indian;Desserts / Bakery,3,5.7,Omnivore,Seafood,2,1,Maybe,Group cart & split pay;Chef livestreams & AR plating guides;Mood-weather menu;Community impact badges;Dynamic off-peak pricing,No,4,4,2,3,No,6,After friends’ reviews,42,Loyalty points,Quality trust,2
25-34,Man,5-10k,5,23,2-3,Dinner 18-22;Breakfast 6-10;Late night 22-02,94.07,4.4,Arab;Healthy bowls;Asian-street,4,11.2,Low-carb,Dairy,4,3,Yes,Dynamic off-peak pricing;Group cart & split pay;Freshness alerts;AI meal-builder;Mood-weather menu,No,2,4,4,3,Yes,2,Not interested,34,Free delivery,Packaging waste,2
18-24,Woman,10-20k,1,42,4-5,Lunch 11-14;Dinner 18-22,124.83,12.8,Healthy bowls,3,13.4,Omnivore,None;Dairy,3,4,No,Community impact badges;AI meal-builder;Chef livestreams & AR plating guides;Group cart & split pay;Reusable-pack rewards,No,3,4,3,4,Yes,7,Immediately,26,Loyalty points,App ease,3
25-34,Woman,10-20k,2,84,6+,Lunch 11-14;Snack 14-17;Dinner 18-22,87.97,11.8,Asian-street;Indian;Healthy bowls,3,11.8,Omnivore,Nuts;Dairy,3,4,Yes,Mood-weather menu;Group cart & split pay;Community impact badges,Yes,3,3,2,4,Yes,7,Immediately,19,Off-peak % discount,Delivery speed,2
18-24,Man,10-20k,6,26,6+,Dinner 18-22;Lunch 11-14;Snack 14-17,35.65,9.1,Indian,2,9.7,Omnivore,Eggs,4,4,Maybe,Freshness alerts;Reusable-pack rewards,No,3,2,3,4,Yes,8,Not interested,38,Off-peak % discount,Delivery speed,3
35-44,Non-binary,10-20k,7,31,2-3,Snack 14-17;Dinner 18-22;Late night 22-02,59.88,21.9,Arab,2,4.3,Vegetarian,None,1,3,Yes,Group cart & split pay;Chef livestreams & AR plating guides;Freshness alerts;Dynamic off-peak pricing;Community impact badges,Yes,4,5,3,3,Yes,10,Not interested,53,Free dessert add-on,App ease,4
25-34,Woman,10-20k,5,25,4-5,Snack 14-17;Lunch 11-14;Dinner 18-22,18.93,1.6,Healthy bowls;Asian-street,2,8.3,High-protein,Dairy,4,5,Maybe,Community impact badges;AI meal-builder;Chef livestreams & AR plating guides,No,2,5,2,2,No,6,Immediately,29,Free delivery,Quality trust,3
25-34,Man,5-10k,3,69,0-1,Late night 22-02;Lunch 11-14,47.63,11.3,Healthy bowls;Arab;Asian-street,3,11.5,Omnivore,Nuts;Seafood,3,3,Yes,Group cart & split pay;Community impact badges,Yes,3,1,3,3,Yes,10,After friends’ reviews,55,Free delivery,App ease,5
25-34,Woman,20-35k,2,23,2-3,Snack 14-17,51.02,11.9,Desserts / Bakery;Asian-street,4,8.7,Omnivore,Nuts;None,3,4,Yes,Mood-weather menu;Group cart & split pay;AI meal-builder;Community impact badges;Dynamic off-peak pricing,Yes,4,4,3,3,Yes,6,1-3 months,33,Off-peak % discount,Quality trust,5
25-34,Man,<5k,5,5,2-3,Dinner 18-22,61.03,17.6,Western-comfort;Indian,2,7.1,Omnivore,Gluten,3,2,Maybe,Freshness alerts;AI meal-builder;Mood-weather menu;Group cart & split pay;Chef livestreams & AR plating guides,Yes,3,5,2,3,No,8,1-3 months,37,Free dessert add-on,Price,4
35-44,Woman,5-10k,1,7,2-3,Lunch 11-14;Dinner 18-22;Breakfast 6-10,43.7,10.3,Asian-street;Desserts / Bakery,3,13.0,Omnivore,Dairy,3,4,No,AI meal-builder;Mood-weather menu,No,4,2,3,3,Yes,3,After friends’ reviews,25,Loyalty points,Delivery speed,3
18-24,Man,20-35k,1,46,2-3,Dinner 18-22,43.06,9.9,Arab;Desserts / Bakery,2,7.6,Vegetarian,Nuts,5,5,Yes,Group cart & split pay;AI meal-builder,Yes,4,5,1,4,No,4,Immediately,45,Free delivery,Quality trust,4
45-54,Man,20-35k,3,37,4-5,Snack 14-17,54.69,7.8,Healthy bowls,4,9.7,Pescatarian,Seafood,4,4,Maybe,Freshness alerts;Chef livestreams & AR plating guides;Mood-weather menu;Dynamic off-peak pricing,No,4,5,3,2,No,4,Immediately,40,Loyalty points,Delivery speed,4
18-24,Man,35k+,3,32,6+,Dinner 18-22;Lunch 11-14;Breakfast 6-10,30.71,6.4,Asian-street,1,5.9,Omnivore,None,2,3,Maybe,Reusable-pack rewards;Dynamic off-peak pricing;Freshness alerts,Yes,4,4,3,3,Yes,8,Immediately,31,Loyalty points,Delivery speed,1
25-34,Non-binary,5-10k,2,5,2-3,Breakfast 6-10,19.61,7.9,Indian;Asian-street;Western-comfort,3,10.3,Omnivore,None,4,2,No,Community impact badges;Dynamic off-peak pricing;Mood-weather menu;Reusable-pack rewards,No,3,4,3,3,No,3,Immediately,39,Off-peak % discount,Price,3
35-44,Man,10-20k,1,52,6+,Dinner 18-22;Lunch 11-14;Snack 14-17,86.83,11.1,Indian;Asian-street;Desserts / Bakery,5,13.3,Vegetarian,None;Dairy,4,5,Yes,Dynamic off-peak pricing;Chef livestreams & AR plating guides;Reusable-pack rewards;Mood-weather menu,No,5,5,1,4,Yes,10,After friends’ reviews,41,Off-peak % discount,Delivery speed,3
18-24,Man,5-10k,5,12,2-3,Lunch 11-14;Late night 22-02;Breakfast 6-10,59.24,14.2,Arab,1,8.2,High-protein,Soy,4,3,Maybe,AI meal-builder;Group cart & split pay,Yes,2,4,4,3,Yes,9,Not interested,47,Off-peak % discount,App ease,5
45-54,Woman,20-35k,1,22,2-3,Dinner 18-22;Lunch 11-14,66.74,15.6,Indian,4,6.5,Omnivore,Dairy,2,2,Yes,Freshness alerts;Mood-weather menu;Group cart & split pay,Yes,5,3,1,3,Yes,7,1-3 months,52,Off-peak % discount,Delivery speed,4
55+,Man,10-20k,4,28,2-3,Lunch 11-14,64.83,10.6,Healthy bowls,4,5.0,High-protein,None;Eggs,3,3,Maybe,Community impact badges;Freshness alerts,Yes,5,3,4,2,No,9,1-3 months,30,Loyalty points,Price,5
55+,Non-binary,20-35k,4,5,2-3,Snack 14-17;Lunch 11-14;Late night 22-02,45.69,8.9,Indian;Asian-street,2,10.4,Omnivore,None;Gluten,5,4,No,Group cart & split pay;AI meal-builder,Yes,5,4,1,4,Yes,9,Within 1 month,38,Off-peak % discount,Delivery speed,5
35-44,Woman,<5k,2,10,2-3,Breakfast 6-10,63.08,9.4,Asian-street,3,10.3,Omnivore,Nuts,2,3,Yes,Community impact badges;Mood-weather menu;Dynamic off-peak pricing,Yes,5,2,2,3,Yes,5,Immediately,52,Free delivery,Price,4
45-54,Man,<5k,3,64,2-3,Dinner 18-22;Late night 22-02,65.15,9.6,Healthy bowls;Arab;Asian-street,2,10.9,Vegetarian,None;Eggs,4,4,No,AI meal-builder;Dynamic off-peak pricing;Reusable-pack rewards;Freshness alerts,Yes,4,5,5,4,Yes,10,Immediately,40,Free delivery,Delivery speed,5
18-24,Man,<5k,3,26,0-1,Lunch 11-14;Dinner 18-22,39.98,7.5,Healthy bowls;Indian;Western-comfort,1,8.7,Omnivore,None,5,3,Maybe,Dynamic off-peak pricing;AI meal-builder;Mood-weather menu;Community impact badges;Freshness alerts,Yes,4,5,3,4,Yes,6,Within 1 month,56,Free delivery,Delivery speed,3
25-34,Woman,10-20k,3,65,2-3,Snack 14-17,54.47,12.0,Desserts / Bakery,3,1.0,Omnivore,Gluten;None,3,4,No,Mood-weather menu;Chef livestreams & AR plating guides;Freshness alerts;AI meal-builder,No,4,3,5,3,No,10,1-3 months,46,Off-peak % discount,Delivery speed,4
18-24,Woman,5-10k,4,26,2-3,Lunch 11-14;Dinner 18-22,56.52,15.4,Asian-street,3,12.2,Omnivore,Seafood,5,5,Yes,AI meal-builder;Group cart & split pay,Yes,2,3,2,2,Yes,6,After friends’ reviews,27,Loyalty points,Price,4
25-34,Woman,<5k,3,35,2-3,Dinner 18-22;Snack 14-17;Lunch 11-14,36.71,2.0,Western-comfort;Desserts / Bakery,1,3.8,Vegetarian,Seafood,5,5,Maybe,Dynamic off-peak pricing;AI meal-builder;Group cart & split pay;Freshness alerts;Community impact badges,Yes,4,3,4,3,Yes,4,After friends’ reviews,30,Free delivery,Delivery speed,4
55+,Prefer not to say,<5k,4,27,4-5,Lunch 11-14;Dinner 18-22,47.43,0.0,Asian-street;Western-comfort,2,9.0,Low-carb,Dairy;None,4,4,Yes,Dynamic off-peak pricing;Group cart & split pay,Yes,2,5,3,5,Yes,6,After friends’ reviews,41,Free delivery,Price,4
35-44,Woman,10-20k,3,54,2-3,Lunch 11-14,47.39,2.6,Asian-street,2,4.0,Omnivore,Gluten,5,3,Yes,Dynamic off-peak pricing;Community impact badges,Yes,4,2,3,4,No,1,Immediately,55,Free dessert add-on,App ease,4
25-34,Man,20-35k,4,21,0-1,Lunch 11-14,74.59,10.5,Indian;Arab;Asian-street,2,5.6,Omnivore,Seafood;None,4,3,No,Community impact badges;Group cart & split pay;Mood-weather menu;Chef livestreams & AR plating guides;AI meal-builder,Yes,4,3,4,4,No,4,Immediately,30,Loyalty points,App ease,3
35-44,Man,<5k,1,21,2-3,Lunch 11-14,45.6,1.9,Indian;Desserts / Bakery;Arab,1,10.5,Omnivore,None;Seafood,4,3,Maybe,Community impact badges;Reusable-pack rewards;Mood-weather menu;AI meal-builder;Group cart & split pay,Yes,3,5,2,3,No,7,Immediately,29,Loyalty points,App ease,5
25-34,Man,10-20k,6,18,2-3,Late night 22-02;Breakfast 6-10,58.02,11.0,Healthy bowls;Arab,4,6.7,Omnivore,None,3,5,Yes,Reusable-pack rewards;Mood-weather menu;AI meal-builder;Freshness alerts;Dynamic off-peak pricing,Yes,3,3,5,4,Yes,6,1-3 months,46,Loyalty points,Delivery speed,3
25-34,Woman,5-10k,1,27,4-5,Lunch 11-14;Breakfast 6-10;Dinner 18-22,20.27,10.0,Asian-street;Indian,3,7.0,Low-carb,None;Nuts,5,2,Maybe,Mood-weather menu;Dynamic off-peak pricing,No,3,5,4,5,Yes,0,1-3 months,40,Loyalty points,Quality trust,5
18-24,Non-binary,5-10k,6,60,2-3,Lunch 11-14;Late night 22-02;Dinner 18-22,69.48,7.4,Asian-street;Western-comfort,3,4.5,Omnivore,None;Soy,3,1,Yes,AI meal-builder;Mood-weather menu,Yes,1,2,2,5,Yes,4,Immediately,36,Free dessert add-on,Price,5
35-44,Man,5-10k,3,45,2-3,Lunch 11-14;Dinner 18-22,29.52,10.8,Indian;Western-comfort;Desserts / Bakery,2,13.4,Omnivore,Dairy;None,3,5,Yes,Freshness alerts;Reusable-pack rewards;Group cart & split pay,Yes,3,3,3,4,Yes,10,After friends’ reviews,37,Off-peak % discount,Price,4
25-34,Woman,10-20k,5,37,6+,Dinner 18-22;Lunch 11-14,67.28,10.8,Arab;Western-comfort;Desserts / Bakery,4,8.7,Omnivore,None;Seafood,2,3,Maybe,AI meal-builder;Freshness alerts;Reusable-pack rewards;Chef livestreams & AR plating guides;Dynamic off-peak pricing,Yes,4,5,1,4,No,4,Within 1 month,43,Off-peak % discount,Quality trust,4
35-44,Woman,20-35k,2,34,2-3,Dinner 18-22;Lunch 11-14,81.38,10.5,Western-comfort;Asian-street;Healthy bowls,2,8.2,High-protein,None,5,4,Maybe,AI meal-builder;Reusable-pack rewards;Community impact badges,No,3,3,3,2,Yes,5,1-3 months,49,Loyalty points,Price,1
18-24,Man,<5k,1,40,2-3,Lunch 11-14;Snack 14-17;Late night 22-02,92.77,7.8,Indian;Asian-street;Healthy bowls,1,5.6,Pescatarian,None,4,4,No,Freshness alerts;Mood-weather menu;Dynamic off-peak pricing;Group cart & split pay,Yes,3,3,2,5,No,9,Within 1 month,47,Free delivery,Quality trust,2
35-44,Woman,5-10k,8,32,4-5,Dinner 18-22;Lunch 11-14;Snack 14-17,40.69,13.2,Asian-street;Healthy bowls,3,7.6,Vegetarian,None,3,5,Yes,Freshness alerts;Community impact badges;Reusable-pack rewards;Dynamic off-peak pricing;Mood-weather menu,No,3,5,2,3,No,8,After friends’ reviews,34,Off-peak % discount,App ease,3
25-34,Man,5-10k,5,24,2-3,Dinner 18-22;Lunch 11-14,49.74,10.7,Western-comfort;Healthy bowls;Asian-street,3,8.6,Omnivore,Gluten,3,4,No,AI meal-builder;Group cart & split pay;Reusable-pack rewards;Freshness alerts;Community impact badges,No,5,5,3,3,No,6,After friends’ reviews,45,Free delivery,Quality trust,3
25-34,Non-binary,20-35k,4,76,6+,Lunch 11-14;Dinner 18-22,66.83,8.8,Arab,2,9.3,Omnivore,None,5,4,Maybe,Dynamic off-peak pricing;Reusable-pack rewards;Group cart & split pay;Chef livestreams & AR plating guides;Mood-weather menu,Yes,4,4,2,5,Yes,8,Immediately,33,Off-peak % discount,Quality trust,3
25-34,Man,20-35k,4,48,2-3,Dinner 18-22;Lunch 11-14,57.39,11.0,Asian-street,2,6.8,Vegetarian,None,5,5,Maybe,Dynamic off-peak pricing;AI meal-builder;Group cart & split pay,No,4,3,2,2,Yes,7,After friends’ reviews,39,Free dessert add-on,Delivery speed,2
35-44,Woman,<5k,2,51,2-3,Lunch 11-14,52.94,7.1,Healthy bowls;Asian-street,3,7.4,Vegetarian,None;Dairy,3,4,No,Reusable-pack rewards;Community impact badges;Dynamic off-peak pricing;Group cart & split pay,Yes,3,3,3,3,Yes,6,Not interested,51,Off-peak % discount,Quality trust,4
25-34,Man,5-10k,4,59,2-3,Breakfast 6-10;Dinner 18-22;Late night 22-02,44.29,13.1,Desserts / Bakery;Healthy bowls;Asian-street,3,12.1,Omnivore,Seafood;Soy,3,5,Yes,Reusable-pack rewards;Freshness alerts;Mood-weather menu;Chef livestreams & AR plating guides;Group cart & split pay,Yes,3,5,2,1,Yes,6,After friends’ reviews,40,Loyalty points,Price,3
45-54,Man,5-10k,5,49,6+,Dinner 18-22;Late night 22-02,97.15,4.6,Arab;Asian-street,3,6.9,Omnivore,Soy,3,2,Yes,Freshness alerts;AI meal-builder,No,5,2,5,1,Yes,9,After friends’ reviews,30,Loyalty points,Delivery speed,5
45-54,Woman,35k+,5,35,2-3,Lunch 11-14;Breakfast 6-10,115.32,4.1,Healthy bowls;Asian-street,2,6.3,Omnivore,Dairy,3,5,Maybe,Reusable-pack rewards;Dynamic off-peak pricing,Yes,2,3,3,5,Yes,7,After friends’ reviews,43,Free delivery,App ease,4
